Game ID,English Name,Spanish Name,English Description
"6404","Trivial Pursuit: Star Wars Classic Trilogy Collector's Edition","Trivial Pursuit: Star Wars Classic Trilogy Collector's Edition","In this version of Trivial Pursuit players must answer questions based on the original Star Wars movies."
"6432","The Battlefield: Miniature Modern Warfare","The Battlefield: Miniature Modern Warfare","The Battlefield: Miniature Modern Warfare puts the modern tactical first and third person shooter experience on the tabletop. Utilizing the Overdrive™ activation mechanic and a proprietary terrain and cover system, the game captures the rhythm and flow of ultramodern shooter engagements. You&rsquo;ll soon be sliding into cover, mantling obstacles, and performing breach and clears with the best of them. The features: 8 CLASSES Anti-Tank, Assault, Command, Engineer, Medic, Support, Spec Ops, Sniper 9 VEHICLE PROFILES You can field Desert Patrol Vehicles, APC-IFV, Main Battle Tanks, Choppers, and everything in between. Of course, since you have choppers, there are rules for parachuting and fast roping included. 35 LOADOUTS In addition to the weapons and gear found in the standard kits for classes and vehicles, players have access to 35 Loadouts that can be used to further customize squads. These include: scopes, multiple grenade types, ghillie suits, vehicle upgrades, specialized training, under-slung weapon attachments, and much more. 9 GAME MODES! There are 9 core game modes that each have between 4 and 8 additional options and variants. The modes: Attack and Defend, Deathmatch, Team Deathmatch, Capture the Flag, Conquer, HQ, Rout, Tango Down!, and Onslaught. Focus on Multiplayer For 2-8 players! The Battlefield focuses on delivering a true objective based multiplayer experience. Not only will the game support up to 8 players, but certain abilities, game modes, and play options are not even unlocked until you have more than 2 players. Stealth, Tactics, and Communication Matter Even while embracing the shooter experience, The Battlefield strives to feature real world tactics and effects as well. Spotting rules, readied actions, overwatch, suppression fire, and bounding are all present and ensure periods of tension and apprehension punctuated by moments of complete chaos. Zombies, Insurgents, and MERCS But wait... there&rsquo;s more! The rules for Zombies, Insurgents, and MERCS create options for players to tailor and enhance the multplayer experience even further. Here players can take on the part of roleplayer, spoiler, or even engage an opponent in something I like to call the sub-game. You can, quite literally, play a game within the game. Scale The game is playable in any scale with any miniatures you like. It features first person shooter [FPS] and third person shooter [TPS] basing options to empower the player to enjoy the game with the visual style that suits their tastes and miniature collection. Black Ops This bonus section of the book contains notes on design concepts, advanced rules, and other play options. Coupled with the core rules, you have everything you need to customize your games to mirror your favorite shooter&rsquo;s style including games like: Operation Flashpoint, Ghost Recon, Battlefield, and Call of Duty. Allied Support While you can use any miniatures you like, the game has support from some of the best miniature figure, terrain, and game accessory producers in the industry. There&rsquo;s even a resource for LED lighting and specialized effects like fires and welding arcs!"
"7343","Fields of Arle: New Travel Destination – Düsseldorf","Fields of Arle: New Travel Destination – Düsseldorf","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7344","Fields of Arle: New Travel Destination – Eckernförde","Fields of Arle: New Travel Destination – Eckernförde","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination"
"7345","Fields of Arle: New Travel Destination – Eppstein","Fields of Arle: New Travel Destination – Eppstein","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7346","Fields of Arle: New Travel Destination – Essen","Fields of Arle: New Travel Destination – Essen","The travel destination ""Essen"" will be available in Essen."
"7347","Fields of Arle: New Travel Destination – Forch","Fields of Arle: New Travel Destination – Forch","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"6703","El Alamein: Kickstarter Promo Cards","El Alamein: Kickstarter Promo Cards","This is a promotional pack of cards released for El Alamein as part of the Kickstarter. It contains 4 cards: P04 - Airfield P06 - Das Boat 34A - Minsk 35A - Rostov"
"7348","Fields of Arle: New Travel Destination – Frankfurt","Fields of Arle: New Travel Destination – Frankfurt","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"6704","Alone: Kickstarter Exclusive Expansion","Alone: Kickstarter Exclusive Expansion","Assassin Hero Miniature and card Defuser Hero Miniature and card Alpha Hybrid Miniature Mission Card Map Sheet (K1/K2) 3 Item Cards"
